Date,Open,High,Low,Close,Adj Close,Volume
6/29/10,19,25,17.540001,23.889999,23.889999,18766300
6/30/10,25.790001,30.42,23.299999,23.83,23.83,17187100
7/1/10,25,25.92,20.27,21.959999,21.959999,8218800
7/2/10,23,23.1,18.709999,19.200001,19.200001,5139800
7/6/10,20,20,15.83,16.110001,16.110001,6866900
7/7/10,16.4,16.629999,14.98,15.8,15.8,6921700
7/8/10,16.139999,17.52,15.57,17.459999,17.459999,7711400
7/9/10,17.58,17.9,16.549999,17.4,17.4,4050600
7/12/10,17.950001,18.07,17,17.049999,17.049999,2202500
7/13/10,17.389999,18.639999,16.9,18.139999,18.139999,2680100
7/14/10,17.940001,20.15,17.76,19.84,19.84,4195200
7/15/10,19.940001,21.5,19,19.889999,19.889999,3739800
7/16/10,20.700001,21.299999,20.049999,20.639999,20.639999,2621300
7/19/10,21.370001,22.25,20.92,21.91,21.91,2486500
7/20/10,21.85,21.85,20.049999,20.299999,20.299999,1825300
7/21/10,20.66,20.9,19.5,20.219999,20.219999,1252500
7/22/10,20.5,21.25,20.370001,21,21,957800
7/23/10,21.190001,21.559999,21.059999,21.290001,21.290001,653600
7/26/10,21.5,21.5,20.299999,20.950001,20.950001,922200
7/27/10,20.91,21.18,20.26,20.549999,20.549999,619700
7/28/10,20.549999,20.9,20.51,20.719999,20.719999,467200
7/29/10,20.77,20.879999,20,20.35,20.35,616000
7/30/10,20.200001,20.440001,19.549999,19.940001,19.940001,426900
8/2/10,20.5,20.969999,20.33,20.92,20.92,718100
8/3/10,21,21.950001,20.82,21.950001,21.950001,1230500
8/4/10,21.950001,22.18,20.85,21.26,21.26,913000
8/5/10,21.540001,21.549999,20.049999,20.450001,20.450001,796200
8/6/10,20.1,20.16,19.52,19.59,19.59,741900
8/9/10,19.9,19.98,19.450001,19.6,19.6,812700
8/10/10,19.65,19.65,18.82,19.030001,19.030001,1281300
8/11/10,18.690001,18.879999,17.85,17.9,17.9,797600
8/12/10,17.799999,17.9,17.389999,17.6,17.6,691000
8/13/10,18.18,18.450001,17.66,18.32,18.32,634000
8/16/10,18.450001,18.799999,18.26,18.780001,18.780001,485800
8/17/10,18.959999,19.4,18.780001,19.15,19.15,447900
8/18/10,19.59,19.59,18.6,18.77,18.77,601300
8/19/10,18.540001,19.25,18.33,18.790001,18.790001,579100
8/20/10,18.65,19.110001,18.51,19.1,19.1,296000
8/23/10,19.09,20.389999,19,20.129999,20.129999,1088100
8/24/10,19.25,19.709999,18.950001,19.200001,19.200001,673100
8/25/10,19.16,19.98,18.559999,19.9,19.9,503300
8/26/10,19.889999,20.27,19.6,19.75,19.75,433800
